region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Sub-Saharan Africa,Mozambique,MOZ,123,4.466,20532675,0.204,0.986,0.39,0.494,0.197,0.138,3.05137,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,-0.505,0.12092,-0.04026,0.29869,0.15363,-0.02569,-0.01803
Sub-Saharan Africa,Mauritania,MRT,122,4.49,2963105,0.57,1.167,0.489,0.066,0.106,0.088,2.11773,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,0.054,0.11593,0.29792,0.13026,-0.17632,-0.113,-0.08661
Sub-Saharan Africa,Kenya,KEN,121,4.509,35598952,0.512,0.983,0.581,0.431,0.372,0.053,1.78555,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,0.09,0.14729,-0.01576,0.16665,0.00885,-0.00342,-0.00539
,Gambia,GMB,120,4.516,1617029,0.308,0.939,0.428,0.382,0.269,0.167,,,,,,,,,,,,,,,,
Central and Eastern Europe,Georgia,GEO,119,4.519,4473409,0.886,0.666,0.752,0.346,0.043,0.164,1.59541,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,0.222,0.1441,0.28038,0.02274,-0.05977,-0.01247,-0.21931
Sub-Saharan Africa,Guinea,GIN,118,4.534,9002656,0.38,0.829,0.375,0.332,0.207,0.086,1.99172,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,0.878,0.20583,0.36425,0.13491,-0.04525,-0.07957,-0.03539
Middle East and Northern Africa,Iran,IRN,117,4.548,,1.1,0.842,0.785,0.305,0.27,0.125,1.6944,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,-0.138,0.0912,0.29753,0.08695,0.00467,-0.11086,0.06637
Central and Eastern Europe,Armenia,ARM,116,4.559,3017661,0.85,1.055,0.815,0.283,0.095,0.064,1.75873,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,0.209,0.08179,0.27789,0.0851,0.08453,0.01645,0.025
Sub-Saharan Africa,Burkina Faso,BFA,115,4.587,13933363,0.331,1.056,0.38,0.255,0.177,0.113,1.46494,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1,0.07288,0.20412,0.10875,-0.13993,-0.04047,-0.01532
Sub-Saharan Africa,Niger,NER,114,4.628,1326419,0.138,0.774,0.366,0.318,0.188,0.102,1.87877,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,0.783,0.0686,0.00135,0.06893,-0.15892,-0.00587,-0.05439
